,DATA_ITEM,RESOURCE_NAME,OPR_DATE,INTERVAL_NUM,INTERVAL_START_GMT,INTERVAL_END_GMT,VALUE
142,SYS_FCST_DA_MW,BANCRDNG,2025-09-09,21,2025-09-10T03:00:00-00:00,2025-09-10T04:00:00-00:00,117.03
143,SYS_FCST_DA_MW,BANCRDNG,2025-09-09,13,2025-09-09T19:00:00-00:00,2025-09-09T20:00:00-00:00,111.68
144,SYS_FCST_DA_MW,BANCRSVL,2025-09-09,8,2025-09-09T14:00:00-00:00,2025-09-09T15:00:00-00:00,128.64
145,SYS_FCST_DA_MW,BANCRSVL,2025-09-09,9,2025-09-09T15:00:00-00:00,2025-09-09T16:00:00-00:00,133.18
146,SYS_FCST_DA_MW,BANCRSVL,2025-09-09,11,2025-09-09T17:00:00-00:00,2025-09-09T18:00:00-00:00,141.86
147,SYS_FCST_DA_MW,BANCRSVL,2025-09-09,12,2025-09-09T18:00:00-00:00,2025-09-09T19:00:00-00:00,143.58
148,SYS_FCST_DA_MW,BANCRSVL,2025-09-09,6,2025-09-09T12:00:00-00:00,2025-09-09T13:00:00-00:00,115.31
149,SYS_FCST_DA_MW,BANCRSVL,2025-09-09,13,2025-09-09T19:00:00-00:00,2025-09-09T20:00:00-00:00,148.68
150,SYS_FCST_DA_MW,BANCRSVL,2025-09-09,17,2025-09-09T23:00:00-00:00,2025-09-10T00:00:00-00:00,200.2
151,SYS_FCST_DA_MW,BANCRSVL,2025-09-09,21,2025-09-10T03:00:00-00:00,2025-09-10T04:00:00-00:00,187.2
152,SYS_FCST_DA_MW,BANCRSVL,2025-09-09,1,2025-09-09T07:00:00-00:00,2025-09-09T08:00:00-00:00,132.88
153,SYS_FCST_DA_MW,BANCRSVL,2025-09-09,15,2025-09-09T21:00:00-00:00,2025-09-09T22:00:00-00:00,172.56
154,SYS_FCST_DA_MW,BANCRSVL,2025-09-09,4,2025-09-09T10:00:00-00:00,2025-09-09T11:00:00-00:00,110.39
155,SYS_FCST_DA_MW,BANCRSVL,2025-09-09,7,2025-09-09T13:00:00-00:00,2025-09-09T14:00:00-00:00,124.9
156,SYS_FCST_DA_MW,BANCRSVL,2025-09-09,10,2025-09-09T16:00:00-00:00,2025-09-09T17:00:00-00:00,137.98
157,SYS_FCST_DA_MW,BANCRSVL,2025-09-09,2,2025-09-09T08:00:00-00:00,2025-09-09T09:00:00-00:00,122.69
158,SYS_FCST_DA_MW,BANCRSVL,2025-09-09,3,2025-09-09T09:00:00-00:00,2025-09-09T10:00:00-00:00,114.83
159,SYS_FCST_DA_MW,BANCRSVL,2025-09-09,24,2025-09-10T06:00:00-00:00,2025-09-10T07:00:00-00:00,133.35
160,SYS_FCST_DA_MW,BANCRSVL,2025-09-09,16,2025-09-09T22:00:00-00:00,2025-09-09T23:00:00-00:00,186.53
161,SYS_FCST_DA_MW,BANCRSVL,2025-09-09,20,2025-09-10T02:00:00-00:00,2025-09-10T03:00:00-00:00,197.72
